acx-mac80211,(ACX100USB|TNETW1450)
ar5523,(AR5005UG|AR5005UX)
ar9170usb,Atheros.{1}Communications.{1}AR9170
at76c50x-usb,(at76c503|at76c505|at76c505a)
ath9k_htc,(AR9271|AR7010)
carl9170,Atheros.{1}Communications.{1}AR9170.{1}chipset
orinoco_usb,Agere.{1}Hermes
p54usb,(ISL3886|ISL3887)
prism2_usb,Prism.{1}2\\/2\\.5\\/3
r8712u,(RTL8188SU|RTL8191SU|RTL8192SU)
r8192u_usb,RTL8192U
rndis_wlan,BCM4320
rt2500usb,RT2500USB/RT2571
rt2800usb,(T2070|RT2770|RT2870|RT3070|RT3071|RT3072|RT3370|RT3572|RT5370)
rt2870sta,(T2770/RT2870|RT3070/RT3071/RT3072)
rt73usb,RT2501USB
rtl8187,(RTL8187|RTL8187B)
rtl8192cu,(RTL8188CE\\-VAU|RTL8188CUS|RTL8192CU)
usb8xxx,88W8388
vt6656_stage,VT6656
zd1201,ZD1201
zd1211rw,AR5007UG
zd1211rw,MA111v2
zd1211rw,WN111v1
zd1211rw,TEW\\-424UB
